parcel_number,address,status_long,latitude,longitude,status_short
020 012903100,1434 LAKESHORE AVE,Exempt - no large openings,37.79959443,-122.2569425,Exempt
033 211700402,1937 33RD AVE,exempt - no large openings,37.78301342,-122.2222493,Exempt
046 548000813,2345 92ND AVE,Done - Level 1,37.75373394,-122.1633374,Level 1
011 084001100,817 ERIE ST,Done - Level 2 Required  ,37.8126551,-122.2430761,Level 2
021 022700101,302 HANOVER AVE,Incomplete Evaluation,37.80252087,-122.2518298,Incomplete Evaluation
020 018001002,200 E 15TH ST,Exempt - retrofitted,37.79865168,-122.254988,Exempt
022 030902200,468 STOW AVE,Done - Level 2 Required  ,37.80351581,-122.2502677,Level 2
022 030701000,321 ATHOL AVE,Done - Level 2 Required,37.80183118,-122.2483171,Level 2
021 022702601,339 LESTER AVE,Exempt - engineer's letter,37.80221319,-122.2501458,Exempt
037 254700805,3867 BUELL ST,Done - Level 1,37.78714291,-122.1858796,Level 1
020 017903100,336 E 15TH ST,Incomplete Evaluation - Unclaimed,37.79757882,-122.2538689,Incomplete Evaluation
020 017801402,424 E 15TH ST,Incomplete Evaluation,37.79701838,-122.2531193,Incomplete Evaluation
011 083803500,742 RAND AVE,Done - Level 2 Required,37.81122181,-122.2445511,Level 2
030 192000900,3669 39TH AVE,Incomplete Evaluation - Unclaimed,37.79054709,-122.1962354,Incomplete Evaluation
012 097500500,427 38TH ST,Done - Level 1 ,37.82641735,-122.2616017,Level 1
035 235300800,1627 HIGH ST,Done - Level 1 ,37.77387667,-122.2134039,Level 1
009 073901900,880 34TH ST,Incomplete Evaluation,37.82472885,-122.2745957,Incomplete Evaluation
010 081514300,3768 HARRISON ST,Incomplete Evaluation,37.8206027,-122.2525371,Incomplete Evaluation
046 547001604,9225 BANCROFT AVE,Done - Level 1,37.75213272,-122.164982,Level 1
023 041401300,2230 LAKESHORE AVE,Done - Level 2 Required  ,37.80571627,-122.2499301,Level 2
028 091600200,3555 MAPLE AVE,Done - Level 2 Required  ,37.79718199,-122.2056265,Level 2
022 033800401,2451 IVY DR,Done - Level 1,37.80165133,-122.242532,Level 1
009 071501000,528 31ST ST,Level 1 - missing data ,37.82043385,-122.267905,Level 1
022 036702202,2912 14TH AVE,Incomplete Evaluation - Unclaimed,37.79747891,-122.2298407,Incomplete Evaluation
020 015300901,2338 INTERNATIONAL BLVD,Done - Level 1,37.78322532,-122.2348185,Level 1
010 077200601,425 LEE ST,Done - Level 2 in process - requires retrofit,37.81054906,-122.2569272,Level 2
027 085302500,2953 BROOKDALE AVE,Done - Level 1,37.79197163,-122.2160133,Level 1
008 062702600,1460 ALICE ST,Done - Level 1,37.80330255,-122.2654923,Level 1
010 077300100,200 MONTECITO AVE,Done - Level 1,37.81239074,-122.2580044,Level 1
027 085902700,3048 CHAMPION ST,Ask for exemption - did not review ,37.79487556,-122.2164107,Exempt
010 080600300,3026 RICHMOND BLVD,Done - Level 2 in process,37.81866544,-122.2598254,Level 2
010 077110100,295 LENOX AVE,Incomplete Evaluation - Unclaimed,37.81156167,-122.2580353,Incomplete Evaluation
022 033900900,2625 IVY DR,Incomplete Evaluation,37.80196907,-122.2403023,Incomplete Evaluation
010 081803000,37 MOSS AVE,Done - Level 1,37.81910113,-122.2520931,Level 1
023 049800102,1843 MACARTHUR BLVD,Exempt - retrofitted,37.80048429,-122.2191175,Exempt
027 086200101,3111 SCHOOL ST,Incomplete Evaluation - Unclaimed,37.79395997,-122.211113,Incomplete Evaluation
021 026401200,1124 E 20TH ST,Incomplete Evaluation,37.7951221,-122.2427422,Incomplete Evaluation
022 035502700,2622 13TH AVE,Exempt - less than 5 units,37.79787066,-122.2359936,Exempt
020 012001300,1218 9TH AVE,Incomplete Evaluation,37.79224476,-122.2508326,Incomplete Evaluation
028 090601702,3464 CHAMPION ST,Incomplete Evaluation - Unclaimed,37.79960393,-122.214721,Incomplete Evaluation
010 078801401,264 LEE ST,Level 2 - Missing slope,37.81300743,-122.2572286,Incomplete Evaluation
010 078200600,373 STATEN AVE,Incomplete Evaluation,37.81133968,-122.2542768,Incomplete Evaluation
023 041601001,450 MERRITT AVE,Done - Level 2 Required  ,37.80609362,-122.2485611,Level 2
032 204601001,2264 HIGH ST,Incomplete Evaluation,37.77912589,-122.2066965,Incomplete Evaluation
025 071001901,2633 E 16TH ST,Level 1 - missing data ,37.78247697,-122.2307713,Level 1
008 062703701,245 17TH ST,Done - Level 1 ,37.80478789,-122.2645561,Level 1
029 099003500,3515 RHODA AVE,Done - Level 1,37.79919819,-122.2097751,Level 1
021 022702700,333 LESTER AVE,Level 2 - Missing slope,37.80214119,-122.2503385,Incomplete Evaluation
021 022801200,257 ATHOL AVE,Exempt - engineer's letter,37.80130125,-122.2498548,Exempt
023 041401102,2208 LAKESHORE AVE,Level 2 - Missing slope,37.80541674,-122.2500682,Incomplete Evaluation
025 072000100,3007 E 15TH ST,Done - Level 1,37.77923156,-122.2272096,Level 1
010 079101200,401 VERNON ST,Exempt - engineer's letter,37.81654496,-122.2543941,Exempt
021 022601400,233 ACTON PL,Incomplete Evaluation,37.80133942,-122.2519389,Incomplete Evaluation
022 033602100,2440 8TH AVE,Done - Level 1,37.80040573,-122.2409938,Level 1
009 073104701,3465 RICHMOND BLVD,Exempt - engineer's letter,37.82163357,-122.2574279,Exempt
021 027101600,800 E 20TH ST,Incomplete Evaluation,37.79752111,-122.2454136,Incomplete Evaluation
032 203009100,3141 38TH AVE,Done - Level 1,37.78803775,-122.2023786,Level 1
010 080800800,411 FAIRMOUNT AVE,Done - Level 2 Required  ,37.81954941,-122.25649,Level 2
012 101002800,4133 WEBSTER ST,Level 2 - Missing slope,37.83010299,-122.2606068,Incomplete Evaluation
010 077300401,275 LEE ST,Incomplete Evaluation,37.81224178,-122.2571602,Incomplete Evaluation
032 205200700,2851 38TH AVE,Done - Level 1,37.78699591,-122.2047949,Level 1
011 085103100,964 VERMONT ST,Incomplete Evaluation,37.81603988,-122.2428482,Incomplete Evaluation
010 082000400,217 SANTA CLARA AVE,Level 1 - missing data,37.81729479,-122.251094,Level 1
010 080601800,275 FAIRMOUNT AVE,Exempt - no parking/commercial,37.81803141,-122.2594058,Exempt
010 079501403,81 VERNON ST,Done - Level 1,37.81339723,-122.2596837,Level 1
021 027700600,1921 5TH AVE,Level 1 - missing data,37.79952694,-122.2490436,Level 1
010 078801100,271 JAYNE AVE,Done - Level 1,37.81320432,-122.2566833,Level 1
010 079217900,150 PEARL ST,Incomplete Evaluation - Unclaimed,37.81763903,-122.2549924,Incomplete Evaluation
010 078401900,396 BELLEVUE AVE,Done - Level 1,37.81095045,-122.2522839,Level 1
022 033801000,2333 IVY DR,Done - Level 2 Required  ,37.80131718,-122.2438194,Level 2
021 027400100,611 E 20TH ST,Incomplete Evaluation - Unclaimed,37.79864089,-122.2473718,Incomplete Evaluation
020 018901200,828 FOOTHILL BLVD,Incomplete Evaluation,37.79464563,-122.2487651,Incomplete Evaluation
010 080601600,291 FAIRMOUNT AVE,Done - Level 1,37.81784064,-122.2590994,Level 1
032 211202101,3573 GRAY ST,Level 1 - missing data ,37.78392019,-122.2143555,Level 1
012 093504500,18 MONTELL ST,Done - Level 1,37.82470872,-122.2538371,Level 1
038 317706401,2523 MASON ST,Done - Level 1,37.77236934,-122.192277,Level 1
010 078201201,378 VAN BUREN AVE,Exempt - engineer's letter,37.81083523,-122.2543444,Exempt
048 560002900,9222 MACARTHUR BLVD,Incomplete Evaluation - Unclaimed,37.75440138,-122.1605729,Incomplete Evaluation
010 078800600,301 JAYNE AVE,Incomplete Evaluation - Unclaimed,37.81368184,-122.2558267,Incomplete Evaluation
020 012700602,1233 3RD AVE,Incomplete Evaluation,37.79709439,-122.2560849,Incomplete Evaluation
021 022300800,1639 4TH AVE,Incomplete Evaluation - Unclaimed,37.7984681,-122.2522142,Incomplete Evaluation
011 083803800,754 RAND AVE,Exempt - no large openings,37.81138515,-122.2440744,Exempt
025 072201200,1651 FRUITVALE AVE,Done - Level 1,37.7808536,-122.2245296,Level 1
022 033800402,2439 IVY DR,Done - Level 1,37.80160154,-122.2426808,Level 1
022 030801800,1940 LAKESHORE AVE,Done - Level 2 Required ,37.80321814,-122.2531346,Level 2
040A341601702,7021 LACEY AVE,Incomplete Evaluation,37.77076749,-122.1730877,Incomplete Evaluation
010 079500803,220 ORANGE ST,Done - Level 2 Required  ,37.81516677,-122.2574004,Level 2
022 030501700,2204 IVY DR,Done - Level 2 Required  ,37.80110046,-122.2458739,Level 2
008 067401201,466 24TH ST,Done - Level 1,37.81391681,-122.2672334,Level 1
023 039504500,809 E 28TH ST,Exempt - engineer's letter,37.8028668,-122.2375623,Exempt
020 015901300,2274 E 15TH ST,Done - Level 1,37.7847946,-122.2354619,Level 1
040A345700300,8019 GREENRIDGE DR,Level 1 - missing data ,37.77325011,-122.1542322,Level 1
046 548800300,2424 94TH AVE,Incomplete Evaluation,37.75218771,-122.1610768,Incomplete Evaluation
011 083902000,856 ERIE ST,Done - Level 2 Required  ,37.81288397,-122.2420897,Level 2
020 018300400,232 FOOTHILL BLVD,Ask for exemption - did not review ,37.79904181,-122.2537354,Exempt
014 122801102,5476 VICENTE WAY,Incomplete Evaluation,37.84016601,-122.2602249,Incomplete Evaluation
012 100000400,339 41ST ST,Incomplete Evaluation - Unclaimed,37.82843749,-122.2571383,Incomplete Evaluation
020 017900100,309 FOOTHILL BLVD,Exempt - no parking/commercial,37.79826973,-122.2536065,Exempt
020 021402101,1720 12TH AVE,Exempt - engineer's letter,37.79260857,-122.2446766,Exempt
011 083901400,550 MANDANA BLVD,Done - Level 1,37.81225651,-122.2428945,Level 1
038 317700100,5775 WALNUT ST,Incomplete Evaluation,37.77243967,-122.1914785,Incomplete Evaluation
008 065800100,491 23RD ST,Incomplete Evaluation,37.81243433,-122.2685606,Incomplete Evaluation
010 083003200,690 MARIPOSA AVE,Done - Level 1 ,37.82044419,-122.2489129,Level 1
032 203901900,2906 HIGH ST,Level 2 - Missing slope,37.7836502,-122.2013076,Incomplete Evaluation
016 138402000,5830 AYALA AVE,Incomplete Evaluation - Unclaimed,37.8446443,-122.257194,Incomplete Evaluation
023 041004200,669 HILLSBOROUGH ST,Incomplete Evaluation,37.80453743,-122.2470034,Incomplete Evaluation
020 015802500,1502 23RD AVE,Done - Level 1,37.78427078,-122.2347708,Level 1
010 078402501,374 BELLEVUE AVE,Incomplete Evaluation - Unclaimed,37.81197835,-122.2527447,Incomplete Evaluation
011 084300100,475 WELDON AVE,Done - Level 2 Required  ,37.81579072,-122.2441644,Level 2
032 209106000,2050 HARRINGTON AVE,Done - Level 1,37.78193586,-122.2146601,Level 1
008 062703000,1502 ALICE ST,Exempt - no large openings,37.80383419,-122.2651607,Exempt
010 078801900,276 ADAMS ST,Done - Level 2 Required  ,37.81356504,-122.25679,Level 2
023 041803300,648 BEACON ST,Incomplete Evaluation,37.80832311,-122.2458618,Incomplete Evaluation
012 099402100,4138 HOWE ST,Done - Level 1,37.82730212,-122.2523328,Level 1
022 032300501,2325 17TH AVE,Exempt - less than 5 units,37.79486892,-122.2366496,Exempt
021 027400300,1929 7TH AVE - rear,Level 1 - missing data,37.79815,-122.247284,Level 1
032 203217000,3170 HIGH ST,Incomplete Evaluation - Unclaimed,37.78512759,-122.1981163,Incomplete Evaluation
010 083003400,740 OAKLAND AVE,Exempt - engineer's letter,37.82077097,-122.2486796,Exempt
008 062001000,532 16TH ST,Exempt - city inspection,37.8064673,-122.2716114,Exempt
023 046600900,669 ALMA AVE,Done - Level 2 in process,37.80533354,-122.2380634,Level 2
027 086001800,3000 FRUITVALE AVE,Done - Level 1,37.79451749,-122.2181611,Level 1
,5833 HARMON AVE,Exempt - no large openings,37.768401,-122.19528,Exempt
032 203100400,4101 PORTER ST,Incomplete Evaluation,37.78801504,-122.1993411,Incomplete Evaluation
022 031803000,1008 E 23RD ST,Incomplete Evaluation,37.79802058,-122.2408967,Incomplete Evaluation
012 101103300,433 41ST ST,Incomplete Evaluation,37.82922903,-122.2611805,Incomplete Evaluation
022 030803500,336 WAYNE AVE,Level 1 - missing data,37.80329829,-122.2524972,Level 1
008 062901709,1560 JACKSON ST,Exempt - engineer's letter,37.80410818,-122.2634715,Exempt
012 101003300,418 41ST ST,Incomplete Evaluation,37.82963751,-122.2608906,Incomplete Evaluation
022 033801500,2247 IVY DR,Incomplete Evaluation - Unclaimed,37.80120346,-122.2446811,Incomplete Evaluation
010 077100101,180 MONTECITO AVE,Incomplete Evaluation - Unclaimed,37.81209521,-122.2585428,Incomplete Evaluation
010 083002700,624 MARIPOSA AVE,Incomplete Evaluation,37.81994355,-122.2494738,Incomplete Evaluation
002 008302700,900 JACKSON ST,Exempt - engineer's letter,37.79867026,-122.2670078,Exempt
046 543601000,9635 PLYMOUTH ST,Level 1 - missing data ,37.74669087,-122.1682404,Level 1
023 039301200,1112 E 33RD ST,Exempt - less than 5 units,37.80221143,-122.2340638,Exempt
020 013000800,160 INTERNATIONAL BLVD,Exempt - no large openings,37.79819828,-122.2562891,Exempt
011 083704000,538 GLENVIEW AVE,Done - Level 2 Required  ,37.81220917,-122.2443537,Level 2
022 030102300,1140 E 22ND ST,Level 1 - missing data  ,37.79617537,-122.2405462,Level 1
032 210802504,3526 MEADOW ST,Incomplete Evaluation,37.78607208,-122.2121722,Incomplete Evaluation
023 041802201,677 WESLEY AVE,Done - Level 2 Required  ,37.80865086,-122.2452049,Level 2
037A275505002,6840 MACARTHUR BLVD,Level 1 - missing data ,37.77118297,-122.1754471,Level 1
021 026901200,1934 9TH AVE,Incomplete Evaluation,37.79626544,-122.2451239,Incomplete Evaluation
021 027501500,2014 5TH AVE,Done - Level 1,37.79967969,-122.2477605,Level 1
046 544800403,1820 96TH AVE,Incomplete Evaluation,37.74785084,-122.1664097,Incomplete Evaluation
012 092901000,3933 HARRISON ST,Incomplete Evaluation,37.82205149,-122.2498579,Incomplete Evaluation
011 084401901,466 MANDANA BLVD,Done - Level 2 Required  ,37.81395553,-122.2455178,Level 2
011 084300900,859 VERMONT ST,Exempt - built after 1990,37.81507497,-122.2440907,Exempt
012 101005000,490 41ST ST,Done - Level 1,37.83009719,-122.2631669,Level 1
046 542800400,9825 WALNUT ST,Done - Level 2 Required  ,37.74482701,-122.1683015,Level 2
021 027201000,732 E 20TH ST,Incomplete Evaluation,37.79792775,-122.2458003,Incomplete Evaluation
020 013000700,1407 2ND AVE,Exempt - city inspection,37.79828811,-122.2561628,Exempt
010 079002201,220 PERKINS ST,Incomplete Evaluation,37.81497059,-122.2553825,Incomplete Evaluation
021 022601700,204 WAYNE AVE,Done - Level 2 Required  ,37.80136012,-122.2522719,Level 2
002 007900600,184 13TH ST,Incomplete Evaluation,37.80142042,-122.2651789,Incomplete Evaluation
010 083102100,654 VERNON ST,Done - Level 1,37.81937985,-122.2485734,Level 1
023 041700600,573 WESLEY AVE,Incomplete Evaluation,37.80627937,-122.2472807,Incomplete Evaluation
012 099502400,198 41ST ST,Incomplete Evaluation,37.82760094,-122.2535543,Incomplete Evaluation
010 077301601,266 LENOX AVE,Done - Level 1 ,37.81222545,-122.2578199,Level 1
009 068800401,2801 SUMMIT ST,Done - Level 2 Required  ,37.81676656,-122.2653776,Level 2
010 077403800,286 JAYNE AVE,Incomplete Evaluation,37.81301828,-122.2559823,Incomplete Evaluation
,282 PARK VIEW TER,Done - Level 2 in process - requires retrofit,37.811197,-122.258327,Level 2
020 019301600,1220 FOOTHILL BLVD,Level 1 - missing data ,37.79180289,-122.2455519,Level 1
010 078503601,362 EUCLID AVE,Incomplete Evaluation,37.81265635,-122.2518798,Incomplete Evaluation
010 079404200,316 OAKLAND AVE,Level 1 - missing data ,37.81652808,-122.2567449,Level 1
023 041401103,2204 LAKESHORE AVE,Level 1 - missing data ,37.80526426,-122.2501424,Level 1
009 071901300,852 32ND ST,Incomplete Evaluation - Unclaimed,37.82240998,-122.2745983,Incomplete Evaluation
022 030600901,2137 PARK BLVD,Done - Level 2 Required  ,37.80108407,-122.2476948,Level 2
015 135301000,822 59TH ST,Exempt - no large openings,37.84440671,-122.271486,Exempt
030 192900501,3705 MAYBELLE AVE,Level 2 - Missing slope,37.79005531,-122.1943273,Incomplete Evaluation
022 030903901,456 WAYNE AVE,Level 1 - missing data,37.80386156,-122.2507698,Level 1
012 097302500,3822 RUBY ST,Exempt - less than 5 units,37.82731706,-122.262038,Exempt
022 033900700,2641 IVY DR,Done - Level 1,37.8020167,-122.239915,Level 1
027 089603702,2425 HUMBOLDT AVE,Done - Level 1,37.788795,-122.213651,Level 1
012 099901500,4118 BROADWAY,Done - Level 1,37.82880596,-122.2555091,Level 1
010 081802900,41 MOSS AVE,Exempt - engineer's letter,37.81920585,-122.2522051,Exempt
009 073100800,3351 RICHMOND BLVD,Done - Level 1,37.82045382,-122.259261,Level 1
010 079000204,229 MACARTHUR BLVD,Incomplete Evaluation,37.81641796,-122.2527344,Incomplete Evaluation
037A275504400,3419 69TH AVE,Level 1 - missing data ,37.77159252,-122.174594,Level 1
027 084300201,3227 PRENTISS ST,Done - Level 2 Required  ,37.78864446,-122.2198643,Level 2
012 099203200,95 41ST ST,Done - Level 1,37.82586546,-122.2513967,Level 1
043 457302200,2268 82ND AVE,Done - Level 1,37.76038567,-122.168995,Level 1
029A130100101,3667 DIMOND AVE,Done - Level 1,37.80345403,-122.2164439,Level 1
010 076900500,187 MONTECITO AVE,Exempt - city inspection,37.8124094,-122.2589878,Exempt
042 427200102,8811 A ST,Incomplete Evaluation - Unclaimed,37.74997753,-122.1774421,Incomplete Evaluation
021 022703303,296 LESTER AVE,Incomplete Evaluation,37.80193524,-122.2514293,Incomplete Evaluation
014 122500200,489 55TH ST,Level 1 - missing data,37.83991141,-122.261312,Level 1
023 041400300,441 MERRITT AVE,Exempt - no large openings,37.80587412,-122.2494077,Exempt
013 110803100,4421 GILBERT ST,Exempt - retrofitted,37.8328668,-122.251492,Exempt
010 080703700,3084 RICHMOND BLVD,Done - Level 2 Required  ,37.82017627,-122.2581486,Level 2
046 547001603,9301 BANCROFT AVE,Level 2 - Missing slope,37.75188271,-122.1647973,Incomplete Evaluation
010 077100800,305 LENOX AVE,Done - Level 1,37.81115955,-122.2579207,Level 1
010 077203000,332 LENOX AVE,Done - Level 1,37.81025844,-122.2576224,Level 1
013 114600602,5001 SHAFTER AVE,Level 2 - Missing slope,37.83609501,-122.2588213,Incomplete Evaluation
048C720000160,393 SOMERSET RD,Done - Level 2 in process,37.81949399,-122.2095243,Level 2
020 021801206,1706 8TH AVE,Done - Level 1,37.79546203,-122.2481112,Level 1
015 137301900,570 58TH ST,Incomplete Evaluation,37.84394239,-122.2637225,Incomplete Evaluation
028 090000800,3127 CHAMPION ST,Incomplete Evaluation - Unclaimed,37.79623918,-122.2166693,Incomplete Evaluation
012 098902901,86 LINDA AVE,Incomplete Evaluation,37.82600555,-122.2485552,Incomplete Evaluation
027 087200200,3269 LYNDE ST,Done - Level 1,37.78895131,-122.2148903,Level 1
022 036702101,2900 14TH AVE,Exempt - no large openings,37.79737278,-122.2299923,Exempt
021 027400800,610 E 19TH ST,Done - Level 1,37.79820138,-122.2479891,Level 1
010 077402701,306 LEE ST,Exempt - engineer's letter,37.81171553,-122.2560075,Exempt
022 030803001,285 HANOVER AVE,Done - Level 2 Required  ,37.80288413,-122.2523409,Level 2
037A275302700,3300 66TH AVE,Done - Level 1,37.77251055,-122.1776252,Level 1
023 041500500,479 MERRITT AVE,Done - Level 2 Required  ,37.80681786,-122.2489203,Level 2
013 111102200,234 RIDGEWAY AVE,Exempt - less than 5 units,37.82959039,-122.2524359,Exempt
022 034202900,2606 9TH AVE,Done - Level 1,37.80040331,-122.2393108,Level 1
035 239202700,5439 BANCROFT AVE,Incomplete Evaluation,37.7714838,-122.1994729,Incomplete Evaluation
021 023300102,1844 7TH AVE,Done - Level 1,37.79724401,-122.247576,Level 1
012 094903100,941 37TH ST,Incomplete Evaluation - Unclaimed,37.82713662,-122.2762019,Incomplete Evaluation
012 101205201,529 41ST ST,Incomplete Evaluation,37.82989934,-122.2653809,Incomplete Evaluation
013 113507500,250 WHITMORE ST,Done - Level 2 Required  ,37.83335614,-122.2509948,Level 2
020 018800701,1605 8TH AVE,Incomplete Evaluation - Unclaimed,37.79522222,-122.2494997,Incomplete Evaluation
012 100501301,4020 OPAL ST,Done - Level 1,37.82869056,-122.2583707,Level 1
022 036301400,1930 E 27TH ST,Exempt - engineer's letter,37.79584516,-122.2311084,Exempt
023 040401600,886 CLEVELAND ST,Done - Level 2 Required  ,37.80321155,-122.2399153,Level 2
010 081703101,175 SANTA ROSA AVE,Exempt - engineer's letter,37.81931772,-122.2506944,Exempt
023 039401100,1082 E 33RD ST,Incomplete Evaluation,37.8027886,-122.2347958,Incomplete Evaluation
020 018001001,212 E 15TH ST,Ask for exemption - did not review ,37.80255,-122.234934,Exempt
012 099100101,4150 PIEDMONT AVE,Level 1 - missing data ,37.82663925,-122.2515978,Level 1
020 015901201,1501 23RD AVE,Incomplete Evaluation - Unclaimed,37.78451321,-122.2352235,Incomplete Evaluation
012 093209200,645 EL DORADO AVE,Exempt - engineer's letter,37.82248658,-122.2514283,Exempt
012 098801702,775 KINGSTON AVE,Done - Level 1,37.82413123,-122.2492958,Level 1
013 109702700,4210 TELEGRAPH AVE,Incomplete Evaluation,37.83114235,-122.2635681,Incomplete Evaluation
023 039400100,1000 E 33RD ST,Incomplete Evaluation,37.80313729,-122.2350964,Incomplete Evaluation
016 142701500,648 ALCATRAZ AVE,Level 2 - Missing slope,37.84999838,-122.2638966,Incomplete Evaluation
014 121300700,612 54TH ST,Exempt - less than 5 units,37.83973807,-122.2650248,Exempt
022 030803200,312 WAYNE AVE,Done - Level 2 Required ,37.80292727,-122.2526355,Level 2
023 039506400,3130 PARK BLVD,Done - Level 2 Required  ,37.80284666,-122.236603,Level 2
010 079501200,257 VERNON ST,Done - Level 2 Required  ,37.81416122,-122.2588312,Level 2
023 040402000,19 HOME PL W,Done - Level 1,37.80332785,-122.2395602,Level 1
022 030903100,455 NEWTON AVE,Ask for exemption - did not review  ,37.80406021,-122.2494192,Exempt
026 077700200,2673 GRANDE VISTA AVE,Level 1 - missing data ,37.79297253,-122.2259151,Level 1
013 113401400,1985 PLEASANT VALLEY AVE,Done - Level 1,37.83258388,-122.250157,Level 1
020 018501801,411 E 17TH ST,Exempt - retrofitted,37.79810089,-122.2519809,Exempt
010 078301900,376 STATEN AVE,Done - Level 1,37.81133207,-122.2535955,Level 1
041 419802500,1215 80TH AVE,Incomplete Evaluation,37.75496651,-122.184938,Incomplete Evaluation
023 043202200,769 HILLGIRT CIR,Done - Level 1,37.80698151,-122.2419189,Level 1
010 079101904,170 PERKINS ST,Incomplete Evaluation,37.81591555,-122.2562298,Incomplete Evaluation
040A342003800,7900 NEY AVE,Done - Level 2 Required  ,37.76616317,-122.1653129,Level 2
021 027700900,428 E 19TH ST,Done - Level 1 ,37.79950178,-122.2493639,Level 1
021 023100900,1811 6TH AVE,Level 2 - Missing slope,37.79790612,-122.2492285,Incomplete Evaluation
023 041802700,595 MERRITT AVE,Incomplete Evaluation,37.80797045,-122.2458595,Incomplete Evaluation
046 547302003,9326 BANCROFT AVE,Incomplete Evaluation,37.75162871,-122.1638671,Incomplete Evaluation
023 041501000,2300 LAKESHORE AVE,Incomplete Evaluation - Unclaimed,37.80643941,-122.2495925,Incomplete Evaluation
021 026900501,1935 10TH AVE,Done - Level 1,37.79596122,-122.244774,Level 1
010 083201600,601 JEAN ST,Exempt - engineer's letter,37.81799014,-122.2477654,Exempt
020 019100104,1021 E 17TH ST,Incomplete Evaluation,37.79358029,-122.2467708,Incomplete Evaluation
024 053204301,3761 PARK BOULEVARD WAY,Level 1 - missing data ,37.80521264,-122.2296754,Level 1
020 017801900,1534 4TH AVE,Incomplete Evaluation,37.79738284,-122.252925,Incomplete Evaluation
008 062601400,1461 ALICE ST,Incomplete Evaluation,37.80359146,-122.2661518,Incomplete Evaluation
010 078200700,375 STATEN AVE,Done - Level 1,37.81116903,-122.2543389,Level 1
022 035403301,2820 14TH AVE,Done - Level 2 Required  ,37.79704356,-122.2312563,Level 2
022 033601800,2416 8TH AVE,Done - Level 1,37.80016578,-122.2414192,Level 1
039 327002400,2738 HAVENSCOURT BLVD,Done - Level 1,37.76919241,-122.1816644,Level 1
012 093800500,33 YOSEMITE AVE,Exempt - less than 5 units,37.82320376,-122.2552152,Exempt
010 079000400,415 ADAMS ST,Incomplete Evaluation,37.81607183,-122.2534355,Incomplete Evaluation
022 033801803,2268 PARK BLVD,Exempt - engineer's letter,37.80141642,-122.2455041,Exempt
022 030802500,315 HANOVER AVE,Done - Level 1,37.80301458,-122.2516219,Level 1
023 041901500,520 BODEN WAY,Incomplete Evaluation,37.80741823,-122.248468,Incomplete Evaluation
022 030600100,347 HADDON RD,Exempt - less than 5 units,37.80198978,-122.2475924,Exempt
040 337800405,7940 BANCROFT AVE,Incomplete Evaluation,37.76185404,-122.1719169,Incomplete Evaluation
030 193501004,3773 HIGH ST,Done - Level 1,37.78965281,-122.1919473,Level 1
012 094901400,964 36TH ST,Done - Level 1,37.82686387,-122.2763934,Level 1
010 079603001,300 VERNON ST,Exempt - engineer's letter,37.81453449,-122.2568691,Exempt
025 073300901,1835 28TH AVE,Done - Level 1,37.78399506,-122.2264396,Level 1
023 040302001,33 HOME PL E,Level 1 - missing data,37.80360523,-122.2375555,Level 1
023 039506300,3140 PARK BLVD,Done - Level 2 Required  ,37.80285797,-122.236465,Level 2
010 078001205,421 BURK ST,Incomplete Evaluation,37.80918212,-122.2507407,Incomplete Evaluation
028 095102702,3361 SUTER ST,Done - Level 2 Required  ,37.79248256,-122.2064357,Level 2
013 110800504,2 WHITMORE PL,Incomplete Evaluation,37.83313884,-122.2521954,Incomplete Evaluation
009 073401401,3422 ANDOVER ST,Exempt - no large openings,37.82255505,-122.263661,Exempt
022 030101500,2244 12TH AVE,Incomplete Evaluation - Unclaimed,37.79623225,-122.2398453,Incomplete Evaluation
029A130205000,3723 FRUITVALE AVE,Incomplete Evaluation,37.80323946,-122.2153644,Incomplete Evaluation
010 081401400,3761 HARRISON ST,Done - Level 1,37.8209383,-122.2529949,Level 1
036 250313700,5470 CAMDEN ST,Incomplete Evaluation,37.77811546,-122.1882779,Incomplete Evaluation
008 062800800,1420 JACKSON ST,Exempt - no large openings,37.80225863,-122.2646254,Exempt
022 033800600,2425 IVY DR,Done - Level 2 Required  ,37.80149603,-122.2430163,Level 2
022 034101600,2538 8TH AVE,Done - Level 1,37.80078856,-122.2402636,Level 1
028 095103901,3410 SCHOOL ST,Incomplete Evaluation,37.79210061,-122.2064122,Incomplete Evaluation
021 022201300,1738 4TH AVE,Incomplete Evaluation,37.79850218,-122.2514574,Incomplete Evaluation
022 030501901,512 E 22ND ST,Level 2 - Missing slope,37.80084335,-122.2458836,Incomplete Evaluation
021 026901101,1924 9TH AVE,Incomplete Evaluation,37.7960937,-122.2453283,Incomplete Evaluation
032 204700900,2028 HIGH ST,Done - Level 1,37.77621901,-122.2096872,Level 1
012 092800200,764 KINGSTON AVE,Done - Level 1,37.82320298,-122.2492842,Level 1
014 124800500,5339 BROADWAY,Incomplete Evaluation,37.83802326,-122.2505349,Incomplete Evaluation
033 212904800,1616 35TH AVE,Incomplete Evaluation,37.77928593,-122.2205733,Incomplete Evaluation
030 193501004,3765 HIGH ST,Done - Level 1,37.789137,-122.191487,Level 1
010 079101000,407 VERNON ST,Exempt - retrofitted,37.81671981,-122.2540755,Exempt
011 084101301,840 WARFIELD AVE,Done - Level 1,37.81361538,-122.2436754,Level 1
023 043301600,687 MACARTHUR BLVD,Exempt - no large openings,37.80791691,-122.2429288,Exempt
